0,"1
Scott Thompson",410,16.4,327,13.1,737,29.5,108,4.3,7,0.3,37,1.5,61,2.4,119,4.8,10,0.4,15,0.6,2620,104.8
1,"2
Patrick Dangerfield",390,15.6,277,11.1,667,26.7,106,4.2,8,0.3,45,1.8,26,1,77,3.1,23,0.9,9,0.4,2472,98.9
2,"3
Rory Sloane",301,12.5,222,9.2,523,21.8,113,4.7,9,0.4,21,0.9,16,0.7,101,4.2,19,0.8,6,0.2,2192,91.3
3,"4
Brent Reilly",350,14,141,5.6,491,19.6,150,6,0,0,17,0.7,23,0.9,67,2.7,2,0.1,2,0.1,2012,80.5
4,"5
Nathan van Berlo",293,11.7,162,6.5,455,18.2,105,4.2,1,0,17,0.7,23,0.9,126,5,13,0.5,11,0.4,2060,82.4
5,"6
Matthew Wright",230,10.5,215,9.8,445,20.2,91,4.1,0,0,27,1.2,13,0.6,90,4.1,15,0.7,10,0.5,1841,83.7
6,"7
Bernie Vince",293,14.6,121,6,414,20.7,83,4.1,1,0,17,0.8,15,0.7,34,1.7,18,0.9,10,0.5,1597,79.8
7,"8
Jason Porplyzia",257,11.7,138,6.3,395,18,103,4.7,2,0.1,9,0.4,23,1,60,2.7,30,1.4,13,0.6,1731,78.7
8,"9
David Mackay",211,9.2,178,7.7,389,16.9,89,3.9,5,0.2,12,0.5,19,0.8,96,4.2,9,0.4,6,0.3,1660,72.2
9,"10
Michael Doughty",206,8.6,167,7,373,15.5,100,4.2,0,0,21,0.9,15,0.6,74,3.1,2,0.1,1,0,1537,64
10,"11
Brodie Smith",230,10.5,141,6.4,371,16.9,82,3.7,4,0.2,6,0.3,12,0.5,45,2,5,0.2,5,0.2,1407,64
11,"12
Richard Douglas",236,12.4,96,5.1,332,17.5,74,3.9,1,0.1,16,0.8,15,0.8,52,2.7,11,0.6,16,0.8,1384,72.8
12,"13
Sam Jacobs",190,7.9,131,5.5,321,13.4,98,4.1,743,31,20,0.8,17,0.7,34,1.4,7,0.3,8,0.3,2024,84.3
13,"14
Ian Callinan",185,8,106,4.6,291,12.7,72,3.1,0,0,10,0.4,14,0.6,34,1.5,39,1.7,20,0.9,1341,58.3
14,"15
Ben Rutten",148,5.9,136,5.4,284,11.4,125,5,4,0.2,12,0.5,12,0.5,40,1.6,2,0.1,1,0,1244,49.8
15,"16
Taylor Walker",191,10.1,82,4.3,273,14.4,128,6.7,2,0.1,20,1.1,21,1.1,28,1.5,63,3.3,35,1.8,1605,84.5
16,"17
Kurt Tippett",176,8.4,79,3.8,255,12.1,106,5,158,7.5,25,1.2,25,1.2,32,1.5,39,1.9,31,1.5,1505,71.7
17,"18
Jared Petrenko",147,6.4,98,4.3,245,10.7,58,2.5,2,0.1,17,0.7,16,0.7,94,4.1,16,0.7,14,0.6,1268,55.1
18,"19
Graham Johncock",157,8.3,65,3.4,222,11.7,70,3.7,0,0,16,0.8,13,0.7,48,2.5,19,1,23,1.2,1117,58.8
