0,"1
Ricky Henderson",13,11.9,16,7.7,29,19.6,4,5.3,0,0,1,0.5,0,0.1,3,1.4,1,0.2,0,0.1,102,73.6
1,"2
Scott Thompson",12,11.8,14,14.9,26,26.7,2,3.3,0,0,1,1.5,2,2,4,6,1,0.4,0,0.2,87,97.4
2,"2
Patrick Dangerfield",17,14,9,12.8,26,26.8,6,3.7,1,1.4,2,1.6,0,1,5,5.5,0,0.9,0,0.6,110,106.5
3,"4
Rory Laird",14,12.6,8,11.9,22,24.4,3,5.8,0,0,1,0.9,1,0.7,4,2.5,0,0.1,0,0.2,81,88.5
4,"5
Rory Sloane",9,10.7,11,11.6,20,22.2,2,4.3,1,0.4,0,1.5,1,1.1,5,5.6,1,0.6,0,0.2,79,92.9
5,"5
Richard Douglas",11,12.8,9,8.4,20,21.2,3,2.9,0,0.1,0,0.8,2,1.2,3,4,0,0.4,0,0.3,66,80.1
6,"7
Nathan van Berlo",9,9.4,9,6,18,15.3,3,4,0,0.1,0,0.5,1,0.6,2,3.7,0,0.2,0,0.3,59,67
7,"7
Matt Crouch",9,8.5,9,12.5,18,21,3,2.6,0,0,1,0.5,2,0.9,2,3.4,0,0.1,1,0.4,58,70.6
8,"7
Brodie Smith",13,12.6,5,5.5,18,18.1,2,3.9,0,0,2,0.8,0,0.4,4,1.9,0,0.3,0,0.3,73,69.7
9,"10
Taylor Walker",11,11,5,3.2,16,14.2,10,7.4,0,0,1,0.8,1,1.3,1,1.3,3,2.6,2,2,95,81.4
10,"11
Riley Knight",8,5.6,7,6.7,15,12.4,2,3.3,0,0,2,0.5,1,0.7,1,2.4,2,0.7,0,0.5,59,52.8
11,"11
Sam Jacobs",10,8.9,5,6.6,15,15.5,3,4.2,39,37.3,2,1,1,0.8,4,2,0,0.2,1,0.3,104,97.7
12,"11
Tom Lynch",7,12.7,8,6.2,15,18.9,3,6.9,0,0.1,1,0.7,0,0.4,3,1.9,1,1.4,1,0.7,66,87.2
13,"14
Luke Brown",9,8,5,4.4,14,12.5,2,3.3,0,0,1,0.6,0,0.3,3,1.8,0,0,1,0,57,49.7
14,"15
Charlie Cameron",11,6.9,1,3.4,12,10.2,3,2.8,0,0,0,0.6,0,0.8,4,2.8,2,1.3,2,1.1,74,54.2
15,"15
Eddie Betts",9,9.3,3,4.3,12,13.6,4,3.7,0,0,0,0.7,0,0.8,0,2.8,5,2.7,1,1.1,76,74.4
16,"17
Daniel Talia",7,6.9,3,3.7,10,10.6,4,3.7,0,0,0,0.5,1,0.5,1,1.7,0,0,0,0,40,45.1
17,"18
Josh Jenkins",4,8.2,5,3.2,9,11.5,3,5.1,1,3.8,1,0.6,0,1,1,1.3,0,2.2,0,1,37,67.3
18,"19
Kyle Hartigan",5,5.1,3,4.8,8,9.9,4,3.7,0,0.1,1,0.6,1,0.8,1,1.1,0,0,0,0,35,38.4
19,"20
Kyle Cheney",4,9.7,3,3.8,7,13.5,1,4.8,0,0,1,1.1,1,0.4,0,1.9,0,0,0,0,19,58.4
20,"20
Rory Atkins",3,7.8,4,5.1,7,12.9,1,3.3,0,0,0,0.1,0,0.6,1,1.1,0,0.5,0,0,24,49
21,"22
David Mackay",2,7.7,4,6.1,6,13.8,0,2.2,0,0,2,0.7,0,0.5,1,3.6,0,0.2,0,0.2,20,56.4
22,All Players,197,9.6,146,6.9,343,16.6,68,4.1,42,2.0,20,0.8,15,0.8,53,2.7,16,0.7,9,0.4,1421,70.8
