0,"1
Matt Crouch",16,13.8,16,19.2,32,33,5,3,0,0,0,0.7,0,0.8,2,4.8,1,0.3,1,0.3,110,108.4
1,"1
Rory Laird",23,14.7,9,14.8,32,29.4,12,5.7,0,0,0,1.2,0,0.6,3,2.2,0,0.1,0,0,135,99.6
2,"3
Brad Crouch",15,11.9,9,16.2,24,28.1,4,2.8,0,0,2,1.3,0,0.7,7,6.9,1,0.4,0,0.5,111,105.8
3,"3
Rory Sloane",12,13.1,12,11.1,24,24.2,4,3.1,0,0,1,2.6,2,1.5,8,7.8,1,0.8,0,0.3,105,105.1
4,"5
Rory Atkins",15,12.3,8,9.2,23,21.4,7,4.7,0,0,2,0.5,0,0.9,3,2.4,1,0.4,0,0.3,102,79.9
5,"6
Jake Lever",16,10.4,6,5.6,22,16,11,6.3,0,0.1,2,1.5,2,1,3,1.8,0,0.1,0,0.1,101,67.2
6,"7
Andy Otten",12,7.3,9,6.1,21,13.3,10,4.3,0,1.5,0,0.8,0,1.1,1,2.3,0,1.1,0,0.4,88,61.9
7,"8
David Mackay",13,10.3,7,6.5,20,16.9,3,3,0,0,2,0.6,0,0.8,5,3.5,0,0.4,1,0.4,85,67.8
8,"9
Brodie Smith",12,12.6,6,7.8,18,20.4,6,4.7,0,0,0,0.3,1,0.7,4,2,0,0.5,1,0.4,80,76.9
9,"9
Taylor Walker",11,10.3,7,4.6,18,14.8,7,6.3,0,0,1,0.9,2,1.5,4,1.9,3,2.3,1,1.5,98,78.7
10,"9
Mitch McGovern",10,8.1,8,3.2,18,11.3,6,5.1,0,0,2,1,1,0.6,3,2.6,0,1.5,0,1.3,75,66.1
11,"12
Jake Kelly",9,7.6,8,7.3,17,14.8,8,4.3,0,0,0,0.5,0,0.8,9,2.8,0,0,0,0,103,59.4
12,"13
Riley Knight",6,6.5,9,8.2,15,14.7,7,4,0,0,0,0.9,0,0.4,6,4,1,0.7,0,0.4,87,67.9
13,"13
Josh Jenkins",12,9,3,4.2,15,13.2,11,5.2,5,5.2,1,1.1,1,1,2,2.5,4,2.1,1,1,111,78.2
14,"15
Richard Douglas",13,12.7,1,9,14,21.6,3,2.8,0,0,2,1.1,1,1,3,3.8,1,0.6,0,0.4,67,81.8
15,"15
Daniel Talia",10,6.1,4,6.4,14,12.5,7,4.2,0,0,0,0.6,1,0.5,3,1.9,0,0,0,0,68,50.2
16,"15
Luke Brown",9,9.2,5,5.5,14,14.7,6,3.8,0,0,2,0.7,0,0.5,3,1.9,0,0.1,0,0,69,57.6
17,"18
Eddie Betts",11,8.8,2,4.5,13,13.3,4,3.3,0,0,0,0.8,2,1.2,1,3.3,2,2.3,0,1.4,59,70.8
18,"19
Sam Jacobs",6,7.9,5,6.5,11,14.4,2,3.7,36,39.8,1,1,2,1.2,3,2.7,0,0.4,0,0.3,77,98.4
19,"19
Wayne Milera",7,8.8,4,6.8,11,15.6,2,3.3,0,0,0,0.6,0,0.7,4,2.3,0,0.5,1,0.2,52,60.6
20,"21
Scott Thompson",5,5,5,5,10,10,1,1,0,0,0,0,5,5,4,4,0,0,0,0,29,29
21,"21
Charlie Cameron",5,9.5,5,4.5,10,13.9,1,2.8,0,0,0,1,3,0.9,2,4.3,1,1.2,0,1,33,69.4
22,All Players,248,9.8,148,7.8,396,17.6,127,4.0,41,2.1,18,0.9,23,1.1,83,3.3,16,0.7,6,0.5,1845,74.6
